un	DET:ART	un
texte	NOM	texte
simple	ADJ	simple
dans	PRP	dans
un	DET:ART	un
fichier	NOM	fichier
scrivener	VER:infi	<unknown>
l'	DET:ART	le
autre	ADJ	autre
texte	NOM	texte
du	PRP:det	du
deuxième	NUM	deuxième
document	NOM	document
celui	PRO:DEM	celui
ci	ADV	ci
contient	VER:pres	contenir
de	PRP	de
nombreux	ADJ	nombreux
cas	NOM	cas
d'	PRP	de
espèce	NOM	espèce
avec	PRP	avec
des	PRP:det	du
tirets	NOM	tiret
comme	KON	comme
grand-chose	NOM	grand-chose
ou	KON	ou
grand-mère	NOM	grand-mère
et	KON	et
même	ADV	même
peut-être	ADV	peut-être
ainsi	ADV	ainsi
que	KON	que
des	PRP:det	du
aujourd'hui	ADV	aujourd'hui
ou	KON	ou
qu'	PRO:REL	que
en	PRO:PER	en
est	VER:pres	être
il	PRO:PER	il
ici	ADV	ici
