d'	PRP	de
aussi	ADV	aussi
loin	ADV	loin
qu'	KON	que
on	PRO:PER	on
puisse	VER:subp	pouvoir
voir	VER:infi	voir
un	DET:ART	un
simple	ADJ	simple
texte	NOM	texte
n'	ADV	ne
est	VER:pres	être
un	DET:ART	un
contenant	VER:ppre	contenir
de	PRP	de
plusieurs	PRO:IND	plusieurs
lignes	NOM	ligne
qu'	PRO:REL	que
aujourd'hui	ADV	aujourd'hui
il	PRO:PER	il
contient	VER:pres	contenir
également	ADV	également
plusieurs	PRO:IND	plusieurs
paragraphes	NOM	paragraphe
ceci	PRO:DEM	ceci
est	VER:pres	être
un	DET:ART	un
deuxième	NUM	deuxième
paragraphes	NOM	paragraphe
et	KON	et
il	PRO:PER	il
y	PRO:PER	y
en	PRO:PER	en
aura	VER:futu	avoir
trois	NUM	trois
le	DET:ART	le
troisième	NUM	troisième
paragraphes	NOM	paragraphe
est	VER:pres	être
peut-être	ADV	peut-être
le	DET:ART	le
plus	ADV	plus
long	ADJ	long
pour	KON	pour
aujourd'hui	ADV	aujourd'hui
lequel	PRO:REL	lequel
est	VER:pres	être
le	DET:ART	le
plus	ADV	plus
long	ADJ	long
il	PRO:PER	il
contient	VER:pres	contenir
peu	ADV	peu
à	PRP	à
peu	ADV	peu
de	PRP	de
nombreuses	ADJ	nombreux
locutions	NOM	locution
ou	KON	ou
expressions	NOM	expression
particulières	ADJ	particulier
pour	PRP	pour
tester	VER:infi	tester
des	PRP:det	du
choses	NOM	chose
assez	ADV	assez
basiques	ADJ	basique
un	DET:ART	un
quatrième	NUM	quatrième
paragraphe	NOM	paragraphe
qui	PRO:REL	qui
est	VER:pres	être
un	DET:ART	un
dialogue	NOM	dialogue
et	KON	et
un	DET:ART	un
autre	ADJ	autre
dialogue	NOM	dialogue
dit	VER:pres	dire
-il	PRO:PER	il
soudainement	ADV	soudainement
