y	PRO:PER	y
a	VER:pres	avoir
t	VER:impf	<unknown>
il	PRO:PER	il
des	PRP:det	du
lampes	NOM	lampe
torches	NOM	torche
qui	PRO:REL	qui
éclairent	VER:pres	éclairer
les	DET:ART	le
verres	NOM	verre
noix	NOM	noix
peut-être	ADV	peut-être
et	KON	et
même	ADV	même
sans	PRP	sans
doute	NOM	doute
il	PRO:PER	il
m'	PRO:PER	me
appelle	VER:pres	appeler
aujourd'hui	ADV	aujourd'hui
pour	PRP	pour
t'	PRO:PER	te
amener	VER:infi	amener
aux	PRP:det	au
prud'hommes	NOM	prud'homme
est	VER:pres	être
ce	PRO:DEM	ce
ainsi	ADV	ainsi
que	KON	que
les	DET:ART	le
hommes	NOM	homme
vivent	VER:pres	vivre
mais	KON	mais
qu'	PRO:REL	que
est	VER:pres	être
ce	PRO:DEM	ce
qui	PRO:REL	qui
te	PRO:PER	te
prend	VER:pres	prendre
ce	PRO:DEM	ce
texte	NOM	texte
contient	VER:pres	contenir
des	PRP:det	du
apostrophes	NOM	apostrophe
courbes	ADJ	courbe
